faa,name
04G,Lansdowne Airport
06A,Moton Field Municipal Airport
06C,Schaumburg Regional
06N,Randall Airport
09J,Jekyll Island Airport
0A9,Elizabethton Municipal Airport
0G6,Williams County Airport
0G7,Finger Lakes Regional Airport
0P2,Shoestring Aviation Airfield
0S9,Jefferson County Intl
0W3,Harford County Airport
10C,Galt Field Airport
17G,Port Bucyrus-Crawford County Airport
19A,Jackson County Airport
1A3,Martin Campbell Field Airport
1B9,Mansfield Municipal
1C9,Frazier Lake Airpark
1CS,Clow International Airport
1G3,Kent State Airport
1G4,Grand Canyon West Airport
1H2,Effingham Memorial Airport
1OH,Fortman Airport
1RL,Point Roberts Airpark
23M,Clarke CO
24C,Lowell City Airport
24J,Suwannee County Airport
25D,Forest Lake Airport
29D,Grove City Airport
2A0,Mark Anton Airport
2B2,Plum Island Airport
2G2,Jefferson County Airpark
2G9,Somerset County Airport
2H0,Shelby County Airport
2J9,Quincy Municipal Airport
369,Atmautluak Airport
36U,Heber City Municipal Airport
38W,Lynden Airport
3D2,Ephraim-Gibraltar Airport
3G3,Wadsworth Municipal
3G4,Ashland County Airport
3J1,Ridgeland Airport
3W2,Put-in-Bay Airport
40J,Perry-Foley Airport
41N,Braceville Airport
47A,Cherokee County Airport
49A,Gilmer County Airport
49X,Chemehuevi Valley
4A4,Polk County Airport - Cornelius Moore Field
4A7,Clayton County Tara Field
4A9,Isbell Field Airport
4B8,Robertson Field
4G0,Pittsburgh-Monroeville Airport
4G2,Hamburg Inc Airport
4G4,Youngstown Elser Metro Airport
4I7,Putnam County Airport
4U9,Dell Flight Strip
52A,Madison GA Municipal Airport
54J,DeFuniak Springs Airport
55J,Fernandina Beach Municipal Airport
55S,Packwood
57C,East Troy Municipal Airport
5B2,Saratoga County Airport
60J,Ocean Isle Beach Airport
6A2,Griffin-Spalding County Airport
6J4,Saluda County
6K8,Tok Junction Airport
6S0,Big Timber Airport
6S2,Florence
6Y8,Welke Airport
70J,Cairo-Grady County Airport
70N,Spring Hill Airport
7A4,Foster Field
7D9,Germack Airport
7N7,Spitfire Aerodrome
8M8,Garland Airport
93C,Richland Airport
99N,Bamberg County Airport
9A1,Covington Municipal Airport
9A5,Barwick Lafayette Airport
9G1,Rock Airport
A39,Phoenix Regional Airport
A50,Colorado Springs East
AAF,Apalachicola Regional Airport
AAP,Andrau Airport
ABE,Lehigh Valley Intl
ABI,Abilene Rgnl
ABL,Ambler Airport
ABQ,Albuquerque International Sunport
ABR,Aberdeen Regional Airport
ABY,Southwest Georgia Regional Airport
ACJ,Jimmy Carter Regional
ACK,Nantucket Mem
ACT,Waco Rgnl
ACV,Arcata
ACY,Atlantic City Intl
ADK,Adak Airport
ADM,Ardmore Muni
ADQ,Kodiak
ADS,Addison
ADW,Andrews Afb
AET,Allakaket Airport
AEX,Alexandria Intl
AFE,Kake Airport
AFW,Fort Worth Alliance Airport
AGC,Allegheny County Airport
AGN,Angoon Seaplane Base
AGS,Augusta Rgnl At Bush Fld
AHN,Athens Ben Epps Airport
AIA,Alliance Municipal Airport
AIK,Municipal Airport
AIN,Wainwright Airport
AIZ,Lee C Fine Memorial Airport
AKB,Atka Airport
AKC,Akron Fulton Intl
AKI,Akiak Airport
AKK,Akhiok Airport
AKN,King Salmon
AKP,Anaktuvuk Pass Airport
ALB,Albany Intl
ALI,Alice Intl
ALM,Alamogordo White Sands Regional Airport
ALO,Waterloo Regional Airport
ALS,San Luis Valley Regional Airport
ALW,Walla Walla Regional Airport
ALX,Alexandria
ALZ,Alitak Seaplane Base
