carrier,flight,tailnum,origin,dest
UA,1545,N14228,EWR,IAH
UA,1714,N24211,LGA,IAH
AA,1141,N619AA,JFK,MIA
B6,725,N804JB,JFK,BQN
DL,461,N668DN,LGA,ATL
UA,1696,N39463,EWR,ORD
B6,507,N516JB,EWR,FLL
EV,5708,N829AS,LGA,IAD
B6,79,N593JB,JFK,MCO
AA,301,N3ALAA,LGA,ORD
B6,49,N793JB,JFK,PBI
B6,71,N657JB,JFK,TPA
UA,194,N29129,JFK,LAX
UA,1124,N53441,EWR,SFO
AA,707,N3DUAA,LGA,DFW
B6,1806,N708JB,JFK,BOS
UA,1187,N76515,EWR,LAS
B6,371,N595JB,LGA,FLL
MQ,4650,N542MQ,LGA,ATL
B6,343,N644JB,EWR,PBI
DL,1919,N971DL,LGA,MSP
MQ,4401,N730MQ,LGA,DTW
AA,1895,N633AA,EWR,MIA
DL,1743,N3739P,JFK,ATL
UA,1077,N53442,EWR,MIA
MQ,3768,N9EAMQ,EWR,ORD
UA,303,N532UA,JFK,SFO
B6,135,N635JB,JFK,RSW
B6,709,N794JB,JFK,SJU
DL,575,N326NB,EWR,ATL
US,245,N807AW,EWR,PHX
AA,1837,N3EMAA,LGA,MIA
UA,496,N459UA,LGA,IAH
EV,4626,N11107,EWR,MSP
MQ,4599,N518MQ,LGA,MSP
US,27,N535UW,JFK,PHX
AA,413,N3BAAA,JFK,SJU
UA,1665,N33289,EWR,LAX
AA,303,N3CYAA,LGA,ORD
WN,4646,N273WN,LGA,BWI
US,1019,N426US,EWR,CLT
EV,4144,N13553,EWR,IAD
AA,711,N3GKAA,LGA,DFW
B6,389,N709JB,LGA,MCO
B6,1002,N805JB,JFK,BOS
UA,556,N497UA,EWR,PBI
US,926,N178US,EWR,CLT
UA,1701,N75435,EWR,FLL
B6,102,N796JB,JFK,BUF
UA,883,N569UA,LGA,DEN
UA,1496,N38727,EWR,SNA
B6,203,N558JB,JFK,LAS
B6,117,N178JB,JFK,MSY
DL,1383,N327NW,LGA,PBI
DL,1415,N3763D,JFK,SLC
DL,1865,N705TW,JFK,SFO
DL,2003,N997DL,LGA,MIA
AA,305,N4WNAA,LGA,ORD
AA,1815,N5FMAA,JFK,MCO
MQ,4534,N722MQ,LGA,XNA
UA,1115,N24212,EWR,TPA
DL,1879,N318NB,LGA,FLL
DL,1547,N6703D,LGA,ATL
VX,399,N627VA,JFK,LAX
AA,2279,N3EKAA,LGA,MIA
B6,981,N646JB,JFK,FLL
DL,831,N998DL,LGA,DTW
UA,960,N838UA,EWR,RSW
UA,1203,N77296,EWR,SJU
B6,671,N779JB,JFK,LAX
UA,1092,N26226,LGA,ORD
B6,715,N651JB,JFK,SJU
AA,825,N3ETAA,JFK,FLL
UA,544,N841UA,EWR,ORD
FL,850,N978AT,LGA,MKE
B6,987,N562JB,JFK,MCO
UA,962,N514UA,EWR,PBI
AA,715,N541AA,LGA,DFW
AS,11,N594AS,EWR,SEA
AA,2083,N4WRAA,EWR,DFW
UA,1162,N37462,EWR,DEN
UA,473,N488UA,LGA,IAH
VX,11,N635VA,JFK,SFO
B6,20,N304JB,JFK,ROC
B6,1601,N563JB,LGA,RSW
UA,1111,N37456,EWR,MCO
B6,44,N552JB,JFK,SYR
B6,643,N625JB,JFK,SFO
AA,309,N4WPAA,LGA,ORD
UA,1479,N37408,EWR,IAH
B6,983,N633JB,LGA,TPA
AA,33,N338AA,JFK,LAX
B6,341,N624JB,JFK,SRQ
DL,495,N3760C,JFK,SEA
AA,59,N336AA,JFK,SFO
UA,1668,N24224,EWR,SFO
MQ,3737,N508MQ,EWR,ORD
DL,2263,N325US,LGA,MCO
UA,477,N511UA,LGA,DEN
US,1733,N543UW,LGA,CLT
